UF,CÓDIGO DO MUNICÍPIO,MUNICÍPIO,CNES,NOME FANTASIA,TIPO NOVO DO ESTABELECIMENTO,TIPO DO ESTABELECIMENTO,SUBTIPO DO ESTABELECIMENTO,GESTÃO,CONVÊNIO SUS,CATEGORIA NATUREZA JURÍDICA,SERVIÇO,SERVIÇO CLASSIFICAÇÃO,SERVIÇO - AMBULATORIAL SUS,SERVIÇO - AMBULATORIAL NÃO SUS,SERVIÇO - HOSPITALAR SUS,SERVIÇO - HOSPITALAR NÃO SUS,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,NO_EMAIL,NO_URL
SC,420910,JOINVILLE,2436450,HOSPITAL REGIONAL HANS DIETER SCHMIDT,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA XAVIER ARP,1,S N,BOA VISTA,89227680,(47) 34615500,-26.281895916610914,-48.813124895095825,hrhds@saude.sc.gov.br,
MG,314180,MINAS NOVAS,2134268,FUNDACAO MINAS NOVAS HOSPITAL DOUTOR BADARO JUNIOR,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV ISRAEL PINHEIRO,284,,SAUDADE,39650000,(33)37641202,-17.221396945856185,-42.583136558532715,hospital@fhnhbj.com.br,
MG,314860,PECANHA,2103257,HOSPITAL SANTO ANTONIO DE PECANHA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,HORACIO DE FREITAS,29,,CENTRO,39700000,33 34111399,-18.547528021580256,-42.55982279777527,hsapecanha@gmail.com,
GO,520500,CARMO DO RIO VERDE,2534525,HOSPITAL MUNICIPAL DR EURICO MARTINS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV CORONEL JOSE TEODORO,65,,CENTRO,76340000,(62)3376272,-15.359545930361575,-49.69882249832153,,
BA,291920,LAURO DE FREITAS,2802023,HOSPITAL MENANDRO DE FARIAS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Não,Não,AVENIDA SANTOS DUMONT KM 4 5,S/N,KM 4 5,PORTAO,42700130,71-32897859,-12.898246,-38.321365,sesab.hgmf@saude.ba.gov.br,
PR,411520,MARINGA,2587335,HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,DUPLA,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,AVENIDA MANDACARU,1590,,ZONA 07,87083170,(44) 3011-9100,-23.399934083072093,-51.95503771305084,sec-hum@uem.br,
AM,130040,BARCELOS,2015242,UNIDADE HOSPITALAR DE BARCELOS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DORVAL PORTO,1136,,CENTRO,69700000,(97)3321 1122,-0.9722862866169285,-62.924044132232666,,
SP,352340,ITATIBA,6396968,CAISMI CENTRO DE SAUDE INTEGRADA DE SAUDE DA MULHER,016 AMBULATORIO,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA ANGELO FACCIONE,84,,CENTRO,13250531,(11) 4538-0038,-23.008032,-46.837280,caismi@unidadesaude.itatiba.sp.gov.br,
CE,230195,BARREIRA,9664858,CAPS 1 DE BARREIRA,017 UNIDADE DE ATENCAO PSICOSSOCIAL,70 CENTRO DE ATENCAO PSICOSSOCIAL,001 CAPS I,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,BOANERGES JACO,S/N,,CENTRO,62795000,,-4.2890925,-38.6415469,,
RO,110037,ALTO ALEGRE DOS PARECIS,2806681,HOSPITAL DE PEQUENO PORTE ENFERMEIRA ANA NERI,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA COSTA E SILVA,3925,,CENTRO,76952000,69-3643-1437,-12.130152272776098,-61.856675148010254,fundo.saude2@gmail.com,
CE,230500,GUARACIABA DO NORTE,2561344,HOSPITAL MATERNIDADE SAO JOSE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA CAPITAO FERREIRA,1466,,SANTA LUZIA,62380000,(88)36522025,-4.159837133107956,-40.76195955276489,saudegba@hotmail.com,
CE,231130,QUIXADA,6852408,CAPS AD CASA NORTE,017 UNIDADE DE ATENCAO PSICOSSOCIAL,70 CENTRO DE ATENCAO PSICOSSOCIAL,005 CAPS ALCOOL E DROGA,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DOUTOR EUDASIO BARROSO,983,,PLANALTO UNIVERSITAR,63902100,88 9 8141 0486,-4.96928285229981,-39.022211730480194,casanorteqxda@gmail.com,
GO,520910,GOIATUBA,2340038,HOSPITAL MUNICIPAL DOUTOR HENRIQUE SANTILLO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA CLOVES RODRIGO DO VALE,550,,SETOR OESTE,75600000,(6434953134,-18.012987818712677,-49.35700178146362,hmg@goiatuba.go.gov.br,
MG,317070,VARGINHA,2761041,HOSPITAL REGIONAL DO SUL DE MINAS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUI BARBOSA,158,,CENTRO,37002140,,-21.551672145374557,-45.431363582611084,,
GO,522010,SAO LUIS DE MONTES BELOS,2550644,UBS JOSIAS RICARDO DE ARAUJO SAO LUIS DE MONTES BELOS,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA RIO CLARO ESQUINA COM RUA BARREIRINHO,S/N,,SETOR SERRA VERDE II,76100000,62981880449,-16.514790854703666,-50.365426540374756,,
AM,130070,BOCA DO ACRE,2012499,UNIDADE HOSPITALAR DE BOCA DO ACRE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Não,Não,AVENIDA MARIO DIOGO DE MELO,S/N,BR,PLATO DO PIQUIA,69850000,(97)34512424,-8.770954591222708,-67.33988285064697,,
RJ,330170,DUQUE DE CAXIAS,6007317,HOSPITAL MUNICIPAL MOACYR RODRIGUES DO CARMO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ROD WASHINGTON LUIS,3200,,VILA SAO LUIZ,25085009,26721090 26723857,-22.783638799592353,-43.28406254240659,cnes.hmmrc.upa@gmail.com,
RJ,330455,RIO DE JANEIRO,2270056,SMS HOSPITAL MATERNIDADE PAULINO WERNECK AP 31,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,ESTRADA DA CACUIA,745,,ILHA DO GOVERNADOR,21921001,(21)3512-9805,-22.8108157,-43.18478246957751,diretoria.hmpw@cejam.org.br,
CE,230445,FORTIM,7383703,UNIDADE BASICA DE SAUDE CMV,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,MAMOEIRO,S/N,,ZONA RURAL,62815000,88 34131020,-4.4539396444,-37.789621353,smsfortim1@yahoo.com.br,
RN,240325,PARNAMIRIM,2473380,HOSPITAL MATERNIDADE DO DIVINO AMOR,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV TENENTE MEDEIROS,145,,CENTRO,59140020,(84)3645-5001,-5.90987,-35.25991,hmdageral@gmail.com,
SP,350750,BOTUCATU,2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Sim,AV PROFESSOR MARIO RUBENS GUIMARAES MONTENEGRO,S/N,,UNESP CAMPUS DE BOTU,18618687,(14) 3815 1466,-22.890260,-48.495600,hcbotu@fmb.unesp.br,
MG,314810,PATROCINIO,2196220,POLICLINICA DE PATROCINIO,016 AMBULATORIO,04 POLICLINICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,JOAO ALVES DO NASCIMENTO,999,,CENTRO,38740078,(34)38324474,-18.944710030215173,-46.98936223983765,sesaude@wbrnet.com.br,
MG,314390,MURIAE,4042085,CASA DE CARIDADE DE MURIAE HOSPITAL SAO PAULO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Sim,RUA CORONEL IZALINO,187,,CENTRO,36880103,3237293700,-21.13741519520643,-42.36465493748645,diretoria@hsp.org.br,
SP,351880,GUARULHOS,2082861,HOSP MUNICIPAL DE URGENCIAS HMU,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA TIRADENTES,3392,,BOM CLIMA,7196000,1124757422,-23.462990446336306,-46.532957553863525,HMU@GUARULHOS.SP.GOV.BR,
CE,231140,QUIXERAMOBIM,2328380,HOSPITAL REGIONAL DR PONTES NETO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ALTO DO BOQUEIRAO,S/N,,CENTRO,63800000,(88)3441-1353,-5.193996583130524,-39.30217266082764,,
GO,521210,JOVIANIA,2536021,HOSPITAL MUNICIPAL MARIA DO GALENO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVENIDA DAS MOLIANAS,36,,SETOR VILA MOLIANA,75610000,(64)4087023,-17.9061175,-49.7203982,,
RO,110145,PARECIS,2806738,HOSPITAL DE PEQUENO PORTE FRANCISCO AMARAL DE BRITO,006 HOSPITAL,15 UNIDADE MISTA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA JUDITE JESUS DE OLIVEIRA,412,,CENTRO,76979000,69 34471113,-12.18048,-61.60438,cds_parecis@hotmail.com,
MT,510320,COLIDER,2392097,CENTRO DE ESPECIALIDADE MEDICAS DE COLIDER,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVENIDA TANCREDO NEVES,1648,,CENTRO,78500000,(66) 3541-1919,-10.818036570836842,-55.45243978500366,centrosaude.sms@colider.mt.gov.br,http://www.colider.mt.gov.br/
MA,211130,SAO LUIS,2308762,HOSPITAL MUNICIPAL DJALMA MARQUES SOCORRAO I,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA DO PASSEIO,S/N,,CENTRO,65015370,(98) 991627622,-2.5358333426586555,-44.316744804382324,,
MG,312670,FRANCISCO SA,9013245,UNIDADE DE PRONTO ATENDIMENTO 24 HORAS NOVO MILENIO,008 PRONTO ATENDIMENTO,73 PRONTO ATENDIMENTO,003 UPA,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVENIDA JK,S/N,,PLANALTO,39580000,3832331160,-16.473250586199683,-43.487019538879395,,
RJ,330285,MESQUITA,7011857,SES RJ COMPLEXO REG MESQUITA MATERNID E CLINICA MULHER,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,DR CARVALHAES,400,,ROCHA SOBRINHO,26572530,21 23345010,-22.785274,-43.409937,ANA.FERNANDES@FS.GOV.BR,
BA,292990,SEABRA,2870045,MATERNIDADE FREI JUSTO VENTURE,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,PRACA DA BANDEIRA,100,,CENTRO,46900000,7533319400,-12.4153701,-41.769736699999996,,
TO,171800,PORTO ALEGRE DO TOCANTINS,2658836,UNIDADE BASICA DE SAUDE DE PORTO ALEGRE,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA RUI BARBOSA,S/N,,SETOR ALTO DA GLORIA,77395000,(63) 5241062,-11.60702847220691,-47.05345630645752,portoalegre@saude.to.gov.br,
MT,510760,RONDONOPOLIS,2396866,SANTA CASA DE RONDONOPOLIS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,RUA ACYR REZENDE DE SOUZA E SILVA,2107,,VILA BIRIGUI,78705025,(66) 34102700,-16.46249886687599,-54.64345335960388,assessoria@santacasaroo.org.br,https://santacasaroo.org.br/
CE,230620,ITAICABA,2372673,UNID MISTA JOSEFA MA CONCEICAO,006 HOSPITAL,15 UNIDADE MISTA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,CEL JOAO BATISTA,236,,CENTRO,62820000,4211698,-4.678100460191539,-37.82100801114979,,
GO,520215,ARAGUAPAZ,2382369,HOSPITAL MUNICIPAL DE ARAGUAPAZ,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVENIDA CAMPOS,S/N,QD 2 LT 14,CENTRO,76720000,(62)3801408,-15.092303393349985,-50.63242435455322,,
AM,130002,ALVARAES,2017768,UNIDADE HOSPITALAR DE ALVARAES,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ESTRADA ALVARAES NOGUEIRA,S/N,,SANTA LUZIA,69540000,(97)33451204,-3.215122,-64.815042,hosp-alvaraes@saude.am.gov.br,
AM,130008,ANAMA,2017679,HOSPITAL FRANCISCO SALES DE MOURA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Não,Não,Sim,Não,ALVARO MAIA,S/N,AO LADO DA UBS,ANAMA,69445000,(92)994585023,-3.576075363193615,-61.405956745147705,anamahospital@gmail.com,
PB,251620,SOUSA,2504537,HOSPITAL REGIONAL DEPUTADO MANOEL GONCALVES DE ABRANTES,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,JOSE FACUNDO DE LIRA,S/N,,JARDINS,58802305,(83)35222774,-6.757082921551318,-38.22313266143401,palommaabrantes@gmail.com,http://paraiba.pb.gov.br/diretas/saude
DF,530010,BRASILIA,658286,CEPAV SEMPRE VIVA,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,QUADRA CENTRAL AREA ESPECIAL B LOTE 2,2,,SOBRADINHO,73010600,61 992532414,-15.650210322981698,-47.793933074309095,cepav.sempreviva@saude.df.gov.br,
PR,411990,PONTA GROSSA,6542638,HOSPITAL UNIVERSITARIO REGIONAL DOS CAMPOS GERAIS,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA PROFESSOR GABRIEL DE PAULA MACHADO,601,,UVARANAS,84031515,(42) 3219-8888,-25099,-50102,hu@uepg.br,hu.uepg.br
SC,421950,XANXERE,2411393,HOSPITAL REGIONAL SAO PAULO ASSEC,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Sim,CELESTINO DO NASCIMENTO,373,,CENTRO,89820000,(49) 34417777,-26.879870,-52.400560,hrsp@oi.com.br,
GO,521400,MOZARLANDIA,3649083,PS PSF III DEDITHE DO CORACAO DE JESUS FIGUEREDO,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DOS MILITARES ESQ C GOIAS E FAZENDEIROS,S/N,PRACA 02,SANTA MONICA,76700033,(62)33486952,-14.747493183283797,-50.570476055145264,sms-mozarlandia@yahoo.com.br,
MG,316930,TRES CORACOES,2760657,HOSPITAL SAO SEBASTIAO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Sim,Sim,Sim,RUA PEDRO BONESIO,236,,CENTRO,37410113,(35)3239-3950,-21.69605742812918,-45.256301164627075,diretoria@hsstc.com.br,
PI,221060,SAO RAIMUNDO NONATO,2777649,HOSP REG SEN CANDIDO FERRAZ,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,PRACA CAPITAO NEUTON RUBEM,1351,,ALDEIA,64770000,( ),-9.016012284665694,-42.69664764404297,,
MA,210735,NOVA OLINDA DO MARANHAO,2646110,UBS CENTRO DE SAUDE,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DO SESP,S/N,,CENTRO,65274000,(98)3771259,-2.8069173,-45.703134,saudenovaolinda@hotmail.com,
RO,110143,NOVA UNIAO,2808641,HOSPITAL MUNICIPAL EXPEDITO GONCALVES FERREIRA,016 AMBULATORIO,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,MACHADO DE ASSIS,365,,SETOR 02,76924000,69 34661111,-10.91348657212465,-62.56072282791139,semsau.novauniao@gmail.com,
PA,150360,ITAITUBA,2331063,UNIDADE DE SAUDE DA FAMILIA DE BARREIRAS,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA GILBERTO LAMEIRA,S/N,VILA DE BARREIRAS,ZONA RURAL,68181000,,-4.090241,-55.687561,,
GO,522160,URUACU,547484,HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV GALDINO MOREIRA DE SOUZA,1230,,RESIDENCIAL JARDIM E,76400000,(62) 3121-4902,-14.511499178667925,-49.13539577029873,,
